"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2012K4";30.5;37.2;67.8
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2013K1";34.4;41.9;66.9
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2013K2";34.2;41.7;67.4
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2013K3";32.5;39.6;68.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2013K4";34.3;41.8;66.0
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2014K1";29.3;35.7;66.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2014K2";24.0;29.2;67.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2014K3";30.3;36.9;60.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2014K4";30.4;37.0;68.3
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2015K1";29.1;35.5;67.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2015K2";23.5;28.7;69.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2015K3";17.2;21.0;67.6
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2015K4";24.2;29.6;69.3
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2016K1";26.9;32.8;69.9
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2016K2";27.4;33.4;70.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2016K3";29.1;35.5;71.5
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2016K4";36.6;44.6;71.3
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2017K1";32.1;39.2;68.0
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2017K2";31.8;38.7;69.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2017K3";32.3;39.4;69.6
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2017K4";34.9;42.6;71.8
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2018K1";42.2;51.5;72.3
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2018K2";43.6;53.2;72.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2018K3";54.3;66.3;72.4
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2018K4";53.1;64.9;72.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2019K1";53.1;64.8;74.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2019K2";43.8;53.5;74.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2019K3";41.0;50.1;76.0
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2019K4";45.3;55.2;73.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2020K1";22.9;27.9;77.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2020K2";12.3;15.1;78.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2020K3";12.2;14.9;80.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2020K4";20.2;24.7;77.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2021K1";53.8;65.7;76.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2021K2";50.3;61.4;75.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2021K3";79.4;96.9;74.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2021K4";111.4;136.0;74.5
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2022K1";116.4;142.1;75.9
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2022K2";127.3;155.4;75.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2022K3";225.3;275.0;80.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2022K4";170.6;208.2;87.4
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2023K1";108.5;132.4;92.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2023K2";84.4;102.8;92.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2023K3";39.2;47.8;92.9
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2023K4";85.0;103.7;93.2
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2024K1";77.8;95.1;93.4
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2024K2";54.0;65.8;93.4
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2024K3";33.7;41.1;94.9
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2024K4";53.8;65.7;94.7
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2025K1";67.8;82.7;95.1
"1.2 Kontrakter tilknyttet elspotprisen, husholdninger";"2025K2";53.9;65.6;95.9
"1.3 Variabel pris kontrakter, husholdninger";"2012K1";35.5;43.3;31.3
"1.3 Variabel pris kontrakter, husholdninger";"2012K2";28.4;34.6;29.2
"1.3 Variabel pris kontrakter, husholdninger";"2012K3";23.5;28.7;26.2
"1.3 Variabel pris kontrakter, husholdninger";"2012K4";28.8;35.1;26.0
"1.3 Variabel pris kontrakter, husholdninger";"2013K1";36.0;43.9;27.1
"1.3 Variabel pris kontrakter, husholdninger";"2013K2";35.4;43.2;27.9
"1.3 Variabel pris kontrakter, husholdninger";"2013K3";35.1;42.8;26.8
"1.3 Variabel pris kontrakter, husholdninger";"2013K4";38.3;46.7;29.7
"1.3 Variabel pris kontrakter, husholdninger";"2014K1";35.8;43.6;29.7
"1.3 Variabel pris kontrakter, husholdninger";"2014K2";31.6;38.5;28.6
"1.3 Variabel pris kontrakter, husholdninger";"2014K3";32.5;39.6;32.2
"1.3 Variabel pris kontrakter, husholdninger";"2014K4";34.7;42.3;28.5
"1.3 Variabel pris kontrakter, husholdninger";"2015K1";36.0;43.9;29.6
"1.3 Variabel pris kontrakter, husholdninger";"2015K2";31.4;38.3;28.1
"1.3 Variabel pris kontrakter, husholdninger";"2015K3";25.3;30.8;30.0
"1.3 Variabel pris kontrakter, husholdninger";"2015K4";29.5;35.9;28.6
"1.3 Variabel pris kontrakter, husholdninger";"2016K1";33.0;40.2;28.1
"1.3 Variabel pris kontrakter, husholdninger";"2016K2";32.2;39.2;27.5
"1.3 Variabel pris kontrakter, husholdninger";"2016K3";34.3;41.8;26.8
